"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 18 16:36:52 UTC 2026","Sat Apr 18 16:36:52 UTC 2026","165","Network Requests","","","","","cy.request() with query parameters",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","96","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sat Apr 18 16:36:40 UTC 2026","Sat Apr 18 16:36:40 UTC 2026","256","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Sat Apr 18 16:35:51 UTC 2026","Sat Apr 18 16:35:51 UTC 2026","128","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Sat Apr 18 16:36:45 UTC 2026","Sat Apr 18 16:36:46 UTC 2026","870","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:13 UTC 2026","88","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Sat Apr 18 16:36:46 UTC 2026","Sat Apr 18 16:36:47 UTC 2026","291","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","294","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","168","Cookies","","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Sat Apr 18 16:35:49 UTC 2026","Sat Apr 18 16:35:50 UTC 2026","770","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sat Apr 18 16:37:45 UTC 2026","Sat Apr 18 16:37:45 UTC 2026","193","Window","","","","","cy.window() - get the global window object",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","79","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Sat Apr 18 16:36:07 UTC 2026","Sat Apr 18 16:36:07 UTC 2026","611","Pruebas de promesas en Cypress","","","","","Ejercicio 1: promesa simple con setTimeout",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:16 UTC 2026","92","Traversal","","","","",".eq() - get a DOM element at a specific index",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","174","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Sat Apr 18 16:36:38 UTC 2026","Sat Apr 18 16:36:39 UTC 2026","1187","Misc","","","","","cy.exec() - execute a system command",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","231","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Sat Apr 18 16:35:37 UTC 2026","Sat Apr 18 16:35:38 UTC 2026","473","example to-do app","","","","","displays two todo items by default",""
"passed","Sat Apr 18 16:36:40 UTC 2026","Sat Apr 18 16:36:41 UTC 2026","806","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Sat Apr 18 16:35:59 UTC 2026","Sat Apr 18 16:36:00 UTC 2026","1356","Ejemplos con FeatureMentoría personalizada de avance de carrera para testers de software sea el titulo dehttps://www.freerangetesters.com/mentoria-1-1-con-pato","","","","","Validar titulo de la pagina",""
"passed","Sat Apr 18 16:36:23 UTC 2026","Sat Apr 18 16:36:23 UTC 2026","82","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","95","Traversal","","","","",".first() - get first DOM element",""
"passed","Sat Apr 18 16:36:52 UTC 2026","Sat Apr 18 16:36:52 UTC 2026","240","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","86","Traversal","","","","",".last() - get last DOM element",""
"passed","Sat Apr 18 16:35:48 UTC 2026","Sat Apr 18 16:35:49 UTC 2026","764","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Sat Apr 18 16:35:48 UTC 2026","Sat Apr 18 16:35:48 UTC 2026","192","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","72","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Sat Apr 18 16:36:10 UTC 2026","Sat Apr 18 16:36:10 UTC 2026","96","Loguenado Via Api con Db-Seeding","","","","","Login vía API con usuario semilla",""
"passed","Sat Apr 18 16:35:46 UTC 2026","Sat Apr 18 16:35:50 UTC 2026","3867","Ejemplos con FeatureObtené experiencia real sea el titulo dehttps://www.freerangetesters.com/experiencia-en-qa","","","","","Validar titulo de la pagina",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","179","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","85","Traversal","","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:16 UTC 2026","203","Traversal","","","","",".children() - get child DOM elements",""
"passed","Sat Apr 18 16:37:18 UTC 2026","Sat Apr 18 16:37:18 UTC 2026","103","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sat Apr 18 16:37:18 UTC 2026","Sat Apr 18 16:37:18 UTC 2026","106","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"failed","Sat Apr 18 16:36:20 UTC 2026","Sat Apr 18 16:36:25 UTC 2026","4947","Trabajando con panatallas modales","","","","","Valido un texto de un elemento en un Iframe",""
"passed","Sat Apr 18 16:37:06 UTC 2026","Sat Apr 18 16:37:06 UTC 2026","239","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Sat Apr 18 16:36:23 UTC 2026","Sat Apr 18 16:36:23 UTC 2026","105","Cypress APIs","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Sat Apr 18 16:36:51 UTC 2026","Sat Apr 18 16:36:51 UTC 2026","373","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Sat Apr 18 16:36:05 UTC 2026","Sat Apr 18 16:36:05 UTC 2026","119","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Sat Apr 18 16:36:08 UTC 2026","Sat Apr 18 16:36:08 UTC 2026","274","Pruebas de promesas en Cypress","","","","","Ejercicio 2: fetch a API pública",""
"passed","Sat Apr 18 16:35:46 UTC 2026","Sat Apr 18 16:35:48 UTC 2026","1844","Actions","","","","",".click() - click on a DOM element",""
"passed","Sat Apr 18 16:36:51 UTC 2026","Sat Apr 18 16:36:52 UTC 2026","231","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Sat Apr 18 16:36:13 UTC 2026","Sat Apr 18 16:36:13 UTC 2026","84","Connectors",".then()","","","","yields the original subject without return",""
"passed","Sat Apr 18 16:36:07 UTC 2026","Sat Apr 18 16:36:08 UTC 2026","1061","Pruebas de Intercept con Cypress","","","","","Simula una solicitud Get a /Posts con Stub",""
"passed","Sat Apr 18 16:36:29 UTC 2026","Sat Apr 18 16:36:29 UTC 2026","100","Files","","","","","cy.readFile() - read file contents",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","103","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Sat Apr 18 16:35:48 UTC 2026","Sat Apr 18 16:35:48 UTC 2026","179","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","82","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Sat Apr 18 16:35:39 UTC 2026","Sat Apr 18 16:35:39 UTC 2026","253","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","121","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:16 UTC 2026","94","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Sat Apr 18 16:37:03 UTC 2026","Sat Apr 18 16:37:03 UTC 2026","183","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","108","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Sat Apr 18 16:35:35 UTC 2026","Sat Apr 18 16:35:35 UTC 2026","45","Pruebas de Apis con Cypress","","","","","El Delete request funciona correctamentamente",""
"passed","Sat Apr 18 16:35:45 UTC 2026","Sat Apr 18 16:35:46 UTC 2026","417","Actions","","","","",".submit() - submit a form",""
"passed","Sat Apr 18 16:37:29 UTC 2026","Sat Apr 18 16:37:31 UTC 2026","2757","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
